window,date,port_return,turnover,port_return_net,cum_return_gross,cum_return_net
2022_2024,2024-06-12,0.00584374229378902,0.41638795986622074,0.004657036608170291,3.8867518812550452,-0.6110201084127529
2022_2024,2024-06-13,0.017095442926019954,0.8970917225950783,0.01453873151662398,3.9702930691346614,-0.6053648342036004
2022_2024,2024-06-14,0.00423386307955447,1.2272727272727273,0.0007361358068271968,3.9913366094546356,-0.6050743291274245
2022_2024,2024-06-17,0.0015064283510919205,0.8739316239316239,-0.0009842767771132076,3.9988557004329612,-0.6054630452939503
2022_2024,2024-06-18,-0.009095657618953317,0.9294871794871795,-0.011744696080491779,3.9533878204952693,-0.6100967619194957
2022_2024,2024-06-19,0.017458989532472366,1.263157894736842,0.013858989532472367,4.0398689666035725,-0.6046930970242609
2022_2024,2024-06-20,0.00655877210251845,1.2456140350877194,0.00300877210251845,4.07292431858208,-0.6035037086426545
2022_2024,2024-06-21,-0.005491141966359468,0.9581749049429658,-0.00822194044544692,4.045068170964148,-0.6067636775370351
2022_2024,2024-06-24,0.0032050620335285665,0.23885350318471338,0.0025243295494521336,4.061237927415469,-0.605771019468324
2022_2024,2024-06-25,0.005771544049595646,0.8949044585987261,0.0032210663425892767,4.090449085059031,-0.60450118176786
2022_2024,2024-06-26,0.0015067880143127298,0.9838709677419355,-0.0012972442437517862,4.098119312727867,-0.6050142403332224
2022_2024,2024-06-27,0.012012619008702667,0.8293650793650794,0.009648928532512192,4.1593610776925765,-0.6012030509668376
2022_2024,2024-06-28,0.002557339385341305,0.8650793650793651,9.186319486511425e-05,4.172555314979757,-0.601166416204997
2022_2024,2024-07-01,0.007060956320289933,0.812206572769953,0.004746167587895566,4.209078502123113,-0.5992734851766249
2022_2024,2024-07-02,0.012498154749185773,0.3967136150234742,0.011367520946368871,4.274182371343304,-0.5947182181256048
2022_2024,2024-07-03,0.005204934549522382,0.9256594724220624,0.002566805053119504,4.301634145388391,-0.5936779387999523
2022_2024,2024-07-04,0.01749038279493049,0.8016877637130801,0.015205572668348214,4.394361756029908,-0.587499579171622
2022_2024,2024-07-05,-0.011679339090247983,0.7883064516129032,-0.013926012477344757,4.331359175905769,-0.5932440651789879
2022_2024,2024-07-08,-0.030181650116679844,0.9173387096774194,-0.03279606543926049,4.17044995861223,-0.6065840594351855
2022_2024,2024-07-09,0.014362678165475075,0.9147609147609148,0.011755609558406467,4.244711467338472,-0.6019592152438522
2022_2024,2024-07-10,-0.0040167577079495516,0.9604989604989606,-0.006754179745371589,4.223644732126068,-0.604647654250084
2022_2024,2024-07-11,0.0166840436995575,1.2876712328767124,0.01301418068585887,4.310796249107823,-0.5995024673879165
2022_2024,2024-07-12,-0.001499742988825859,0.8832,-0.004016862988825859,4.302831419668141,-0.601111211103782
2022_2024,2024-07-15,0.004867119205850588,0.17307692307692307,0.004373849975081357,4.328640932316196,-0.5993665313844081
2022_2024,2024-07-16,-0.013078690364868771,0.8742603550295858,-0.015570332376703092,4.258949287496867,-0.6056045276519842
2022_2024,2024-07-17,-0.000776635066203139,0.8506616257088847,-0.0032010206994734607,4.254865003068812,-0.6068669957227488
2022_2024,2024-07-18,-0.01895793339706488,0.26876876876876876,-0.019723924388055872,4.155243622330067,-0.6146211213735626
2022_2024,2024-07-19,-0.012616640134728227,0.19369369369369369,-0.013168667161755254,4.090201768740276,-0.6196960475573647
2022_2024,2024-07-22,-0.023258805786498336,0.31278195488721805,-0.024150234357926906,3.9718097543870563,-0.6288804771361003
2022_2024,2024-07-23,0.02506947889909998,0.4947589098532495,0.02365941600601822,4.096450434115002,-0.6201000059567083
2022_2024,2024-07-26,-0.024274269680818316,0.5054413542926239,-0.025714777540552295,3.9727378218623706,-0.6298690497911887
2022_2024,2024-07-29,0.011403375373005103,0.32285368802902054,0.010483242362122395,4.029443817876607,-0.6259888773344271
2022_2024,2024-07-30,0.018227605752691903,0.4450354609929078,0.016959254688862117,4.121118536944176,-0.6196459274486743
2022_2024,2024-07-31,-0.00955361956882289,0.41760299625468167,-0.010743788108148732,4.072193318675365,-0.6237323710102372
2022_2024,2024-08-01,-0.05229877493796668,0.9194756554307116,-0.05491928055594421,3.806923821860104,-0.6443967184908459
2022_2024,2024-08-02,-0.04493215571716161,0.9373522458628841,-0.04760360961787083,3.590938372175752,-0.6613247182826414
2022_2024,2024-08-05,-0.016142512607816958,0.05580357142857143,-0.016301552786388385,3.5168290916211946,-0.6668456512650018
2022_2024,2024-08-06,0.034323348964861215,0.21428571428571427,0.03371263467914693,3.6718617927475456,-0.6556141404143297
2022_2024,2024-08-07,0.019524378895265707,0.21252796420581654,0.01891867419727913,3.7630769925354643,-0.6490988165386786
2022_2024,2024-08-08,0.008711266055731668,0.09060402684563758,0.008453044579221601,3.8045694234613743,-0.6461326331919783
2022_2024,2024-08-09,0.011078575306796998,0.15006150061500614,0.01065090003004423,3.857797207635925,-0.6423636272442111
2022_2024,2024-08-12,0.01873521458776408,0.9490806223479491,0.016030334814072424,3.9488090807448257,-0.6366305964472454
2022_2024,2024-08-13,0.000979445778075914,0.9373134328358209,-0.0016918975055061757,3.9536561709054645,-0.6372453802346936
2022_2024,2024-08-14,0.002958413614981,0.9776119402985075,0.00017221958513025364,3.968311134765406,-0.6371829067845735
2022_2024,2024-08-15,0.003989285699529839,0.9841269841269841,0.0011845237947679345,3.9881311473261407,-0.6367531413045113
2022_2024,2024-08-16,0.011041514001183543,0.9731379731379731,0.008268070777740319,4.0432076672290815,-0.6337497905670251
2022_2024,2024-08-19,-0.010895702202369665,0.9731543624161074,-0.01366919213525557,3.9882583783422456,-0.638756135049342
2022_2024,2024-08-20,0.001078016588297513,0.7948350071736011,-0.0011872631821472504,3.993635803620813,-0.6391850265899746
2022_2024,2024-08-21,-0.008198910311312249,0.15954773869346733,-0.008653621366588631,3.9526934315395676,-0.6423073827532606
2022_2024,2024-08-22,0.01352860867260927,0.04773869346733668,0.01339255339622736,4.019696482850269,-0.6375169652773474
2022_2024,2024-08-23,-0.0026617820954260942,0.08056265984654731,-0.002891385675988754,4.006335144627744,-0.6385650435317334
2022_2024,2024-08-26,0.011344491103674595,0.8725617685305592,0.0088576900633625,4.063129469137987,-0.6353635647092726
2022_2024,2024-08-27,-0.0059647940818447496,0.8668442077230359,-0.008435300073855402,4.032928944444858,-0.6384393824588108
2022_2024,2024-08-28,0.02349141667655516,0.9587217043941412,0.02075905981903186,4.151159575382308,-0.6309337239710671
2022_2024,2024-08-29,0.0074182178032994915,0.9587155963302753,0.004685878353758207,4.189371999052046,-0.629204324297121
2022_2024,2024-08-30,-0.00975919685086615,0.7553516819571865,-0.011911949144444132,4.138727896180924,-0.6336212235290735
2022_2024,2024-09-02,-0.04439041859270398,0.7615571776155717,-0.046560856548908354,3.9106176138354485,-0.6506801331829009
2022_2024,2024-09-03,0.009702957100823315,0.16423357664233576,0.009234891407392658,3.9582651258810415,-0.6474542021464
2022_2024,2024-09-04,-0.00494769033142772,0.22793296089385476,-0.005597299269975205,3.933733165457064,-0.6494275064833588
2022_2024,2024-09-05,-0.02066936626642553,0.8659217877094972,-0.023137243361397598,3.831756027599421,-0.6575387875816654
2022_2024,2024-09-06,0.026464909921575658,0.9135338345864662,0.02386133849300423,3.9596280156328696,-0.6493672046714268
2022_2024,2024-09-09,-0.01840419706347815,0.3565217391304348,-0.01942028401999989,3.868350044271615,-0.6561765931434342
2022_2024,2024-09-10,0.011095766669962563,0.10559006211180125,0.01079483499294393,3.922368120430555,-0.6524650761997057
2022_2024,2024-09-11,0.006324729408665725,0.1342925659472422,0.005941995595716084,3.9535007668421205,-0.6504000252131268
2022_2024,2024-09-12,0.014011938604465873,0.47961630695443647,0.012645032129645729,4.022908915464287,-0.6459793222994235
2022_2024,2024-09-13,0.00629745121135022,0.8242009132420092,0.003948478608610494,4.05454043929848,-0.644581479226517
2022_2024,2024-09-16,0.004223445096201031,0.9481481481481482,0.0015212228739788082,4.075888013330385,-0.6440408084428807
2022_2024,2024-09-18,0.016460426547798213,0.9768518518518519,0.013676398770020436,4.159439295138658,-0.6391725685932914
2022_2024,2024-09-19,0.004594586519080388,0.9537037037037037,0.0018765309635248328,4.183144785370116,-0.6384954647457677
2022_2024,2024-09-20,0.0003913923496792792,0.9787234042553191,-0.00239796935244838,4.185173428586389,-0.6393623415420784
2022_2024,2024-09-23,0.004993673185490895,0.6312056737588653,0.003194737015278129,4.211066490098841,-0.6382101990654996
2022_2024,2024-09-24,0.008208155309316725,0.8362831858407079,0.005824748229670707,4.253839733176749,-0.6361028645629935
2022_2024,2024-09-25,-0.005392269545225161,1.2597402597402598,-0.008982529285484903,4.225509613188046,-0.6393715812389604
2022_2024,2024-09-26,0.005963585083593687,1.0307692307692307,0.0030258927759013797,4.25667238437143,-0.6382803583118467
2022_2024,2024-09-27,-0.0035838649577863936,0.8489208633093526,-0.006003289418218049,4.237833180418518,-0.6404518660091548
2022_2024,2024-09-30,-0.0041475392583465685,0.657074340527578,-0.006020201128850166,4.216109061674062,-0.6426164180912826
2022_2024,2024-10-01,0.00013063429145358322,1.197674418604651,-0.0032827378015696726,4.216790464385478,-0.6437896146852746
2022_2024,2024-10-04,0.0033877911423599726,0.6401673640167364,0.0015633141549122739,4.234463860912271,-0.6432327459477853
2022_2024,2024-10-07,-0.003817081976796579,0.9358437935843794,-0.00648423678851206,4.21448348325059,-0.6455461093014472
2022_2024,2024-10-08,-0.014389520960756219,0.9164179104477612,-0.01700131200553234,4.139449563868839,-0.6515722904887881
2022_2024,2024-10-09,-0.004412425809485196,0.14328358208955225,-0.00482078401844042,4.116772123966676,-0.6532519852223815
2022_2024,2024-10-11,0.0009957198098602196,0.9819819819819819,-0.001802928838788429,4.1218669953330505,-0.6538771472180167
2022_2024,2024-10-14,-0.015521280823538297,1.0377358490566038,-0.018478827993349618,4.042369059357673,-0.6602730918791424
2022_2024,2024-10-15,0.016149936042967536,1.0754716981132075,0.013084841703344894,4.123802997171338,-0.6558278190640142
2022_2024,2024-10-16,0.011044700556632018,0.9720670391061452,0.008274309495179504,4.180393866986269,-0.6529800319193189
2022_2024,2024-10-17,-0.007047138794264468,0.20949720670391062,-0.007644205833370613,4.143886912396661,-0.6556327239836174
2022_2024,2024-10-18,0.01036953951064681,0.9607508532423208,0.007631399578906196,4.197226650973057,-0.653004719698437
2022_2024,2024-10-21,0.0031901991476398664,0.949740034662045,0.00048344004885303785,4.213806839005083,-0.6528369682831761
2022_2024,2024-10-22,0.0007376047197073858,0.17157712305025996,0.00024860991901414485,4.217652567537176,-0.6527506601099763
2022_2024,2024-10-23,-0.005821824508955246,0.1937984496124031,-0.0063741500903505945,4.187276309940274,-0.6549640795212104
2022_2024,2024-10-24,0.0017078598018012365,0.1278735632183908,0.0013434201466288227,4.196135450630857,-0.6545005513143286
2022_2024,2024-10-25,-0.01128860651150145,0.6479885057471264,-0.01313537375288076,4.1374783221482225,-0.6590388157042291
2022_2024,2024-10-28,-0.008333188153780278,0.6713395638629284,-0.010246505910789624,4.094666748653794,-0.6625324764944656
2022_2024,2024-10-29,-0.019501239702650938,0.1411229135053111,-0.019903440006141075,3.9953144311831714,-0.669249241102579
2022_2024,2024-10-30,0.0242749092217858,0.17450682852807284,0.02377756476048079,4.11657523553442,-0.6613847935133175
2022_2024,2024-11-01,-0.011082383490722249,0.313588850174216,-0.011976111713718764,4.059871386615095,-0.6654400870541659
2022_2024,2024-11-04,0.008778303587132715,0.9696969696969697,0.006014667223496351,4.104288473758649,-0.6634278205114748
2022_2024,2024-11-05,-0.013261552165835964,1.2285714285714286,-0.016762980737264534,4.0365976858944235,-0.66906977347294
2022_2024,2024-11-06,0.014013955324694858,1.0125,0.011128330324694857,4.10718034085301,-0.6653870725977209
2022_2024,2024-11-07,-0.014154068620850028,1.025,-0.017075318620850027,4.034892959849521,-0.67110069494777
2022_2024,2024-11-08,-0.005544404630123131,1.0227272727272727,-0.008459177357395858,4.006977476010757,-0.6738829125019312
2022_2024,2024-11-11,-0.011589963336966118,0.8692579505300353,-0.014067348495976718,3.9489467906347766,-0.6784705152222594
2022_2024,2024-11-12,0.000746052011799059,0.1544461778471139,0.0003058804049347844,3.952638962344216,-0.6783721656532571
2022_2024,2024-11-13,-0.0102100282857702,0.19500780031201248,-0.010765800516659436,3.902072378449474,-0.6818347467584394
2022_2024,2024-11-14,0.004427279942508523,0.1874062968515742,0.003893171996481536,3.923775225167308,-0.6805960747042659
2022_2024,2024-11-15,-0.009230433842269044,0.32083958020989506,-0.010144826645867244,3.8783266436971973,-0.6838363721564007
2022_2024,2024-11-18,0.004567692543484796,0.2623762376237624,0.0038199202662570733,3.900609339932296,-0.6826286523069476
2022_2024,2024-11-19,0.0005244226486697429,0.971947194719472,-0.002245626856280752,3.9031793304624394,-0.6833413499287411
2022_2024,2024-11-20,0.0140850991808494,0.9599303135888502,0.011349297787121177,3.9722410976334936,-0.6797474966122146
2022_2024,2024-11-21,0.009156304703356008,0.15873015873015872,0.008703923750975055,4.017768452181976,-0.6769600432416685
2022_2024,2024-11-22,0.005261275382707506,0.9507936507936507,0.0025515134779456007,4.044168313815567,-0.6761358024380846
